id,body,label,sentiment
241,A new daily high at $360.98 was just reached for $TSLA. Found with MOMO Realtime Stock Discovery & Alerts.    #TSLA,,1
242,via SwatOptions: $AMZN Mr.B  $amzn,,0
243,Big ER’s again this week $AAPL $AMD $GE $SQ $SPOT $GOOGL $CVS $SHOP $MA $QCOM $MCD $TWLO and more,,1
244,@jimcramer I'm impressed $AAPL free cash flow of over $50 billion! $AAPL is a stock to own!,,1
245,"@elonmusk just letting you know $TSLAQ is here for you bro, just have to reach out $TSLA",,0
246,Millineals havnt got out of first class yet to check their student loan money they put in $tsla .or $qqq..lol ..,,1
247,$AAPL $GOOG $GOOGL Apple Inc. and Google Inc Software Assist Terrorists: DA REPORT (AAPL) (GOOG),,0
248,Thought experiment: imagine what a different place $TSLA would be had it been run by Herb Kelleher instead of Elon Musk. Attached excerpt from @washingtonpost's obituary.,,0
249,Congrats to all $TSLA holders except the Pedo’s and shorts.,,0
250,heads up $AAPL !,,0
251,$aapl #aaple215 sounds like a reasonable top here based on 0.786 retracement from the 140s low,,1
252,"By the way, the risk to $TSLA is severely to the DOWNSIDE.  Among the 420, SCTY and ""Model 3 guidance"" lawsuits there could easily be $1B of settlements, wiping out any FCF for both 2019 and 2020. And myriad other potential suits (Autopilot, for one) and recalls would worsen that",,1
253,What's that kind of argument???Porsche built their first electric car in 1898. How many decades is THAT until Elon came along???  $TSLA,,1
254,Headlines that $AAPL is gonna give back “$300-$400 billion” over the next 3 years. They’d need to go into “actual” debt to do so and I’m not sure they like that idea.,,-1
255,4 weeks? Lucky.#model3refund  $tsla,,0
256,$AMZN potential daily body bullish engulfing if close here or higher.,,1
257,Musk needs to put out an 8k so we can stop this capitulation madness! @elonmusk $TSLA,,0
258,Improved zipper merging now in AP as of @tesla v10. $tsla #tsla,,0
259,Maybe if $SHLD moved their Sears Auto Center Service folks to Sales (inverse $TSLA) they would be able to avoid Bankruptcy. (Spoiler: Not a chance!),,1
260,$aapl back in 60 min BB,,0
261,"If your product fails, just file a patent so next time u can say its on purpose. Id prefer a phone that bounces $AAPL",,-1
262,"China, in response to Trump’s escalation of the trade war, said it would consider taking direct action against US corporations doing business in China.  $AAPL $GM",,1
263,Elon should use a custom Twitter app that automatically filters tweets containing numeric characters. filtered tweets are redirected to his lawyers and only gets posted upon approval by  $TSLA board. make it happen @BoredElonMusk ,,0
264,I will frame if Tesla puts Musk tweet in 8-K. Testament to lack of oversight! $TSLA,,0
265,The evidence of $TSLA 's transformation from Blue Chip Growth to Science Opportunity,,0
266,Can $TSLA go under? We think so PT=$135 50% d/sideBroken firm; hanging on IRRESPONSIBLE MGMT HYPEScale competitors coming: 150 cheaper&better models$VOW $BMW $DAI $FCAU $GM $F Japan ChinaMost Analyst turned to our view Cowen$200 JPM$180 GS$195 BAML$180Funding will stop!,,-1
267,#MediaMergers #Cable companies & #Streaming. #China investing in studios. Content firms begging to partner with $AAPL. $DIS successful #2017,,1
268,$TSLA continuation but finding some rejection at DTL,,0
269,$AMD officially denies $TSLA rumors... down she goes,,-1
270,"If Google earnings are really good, it could wind up as the world's most valuable company. Current market caps:$MSFT: $809.2B $AAPL: $808.3B$AMZN: $798.7B$GOOGL: $788.1B",,1
271,10.22.19 Elliott Wave Updates For FANG: $NFLX $GOOGL AMZN FB,,0
272,"Today in 1984, Apple $AAPL started selling the Macintosh personal computer in the US",,0
273,"> we've got $SPY b/o into r/g (where it will pause), $TSLA $GOOGL $AMZN r/g",,0
274,"Take this and apply it across an the entire tech sector, including $INTC (31X) $CSCO (32X) $MSFT (35X) etc.That was the 90's. $ZM",,0
275,@markbspiegel Holy Muskoil Mark! Did $tsla sales in Europe drop 48% year over year? The Germans just getting started eating Tesla's lunch,,0
276,$TSLA .. remember the DeLorean and the Edsel?,,0
277,"In a very rare twist of events, I'm currently only long stocks - $AMZN and $GE. Feels weird.",,-1
278,$AAPL Great Dividend Stock Again,,1
279,$AAPL Hung in there to close out the week.  We'll see what happens from here. Like the risk reward of long w tight stop,,-1
280,Be careful with that.  If their inventory jumps dramatically peeps will say they built like $aapl.  #ainteasy,,-1
281,$AAPL and $FB aren't even under their respective 21dma...,,0
282,$MSFT $CDNS deal?,,0
283,Top Watchers —>> $NFLX $BA $TSLA $MA $AMZN $GS,,1
284,"#ApplePay or Apple No-Way? We're talking all things Apple, next! $AAPL",,0
285,David Einhorn's Greenlight Capital:New: $KORS $SDRL $SHW $TSCORaised: $ADNT $IACSell: $AAPL $AZO $BBY $DG $DSW $GPS $MU $MYL $TJX $TWTR,,0
286, are insurance rates for $TSLA Drivers rising with these crazy MVA reports?,,-1
287,"$TSLA +20%, $ORLY +13%, $VC +4.8%, $F -3.5% in busy morning for auto earnings:#Tesla rises after surprise profit; #Ford lower after beating top and bottom line estimates but cutting outlook; O'Reilly posts best comp sales since 2016; and Visteon beats estimates",,1
288,I'm still not convinced they can raise $TSLA $TSLAQ,,0
289,3 Retailers Hoping to Copy the Success of Amazon Prime @themotleyfool #stocks $AMZN $BBBY $RH $LULU,,1
290,BREAKING: $TSLA TO LAUNCH SMART PARKING,,1
291,"RT $TSLA Algos BROKE 228 LEVEL in SIGMA-X, CROSSFINDER, ATS, LX @ 11:51 P/T 215.00 $GOOG $TWTR $BIDU $GPRO $NFLX  $AAPL $FB $QQQ #HFT #Quant",,0
292,"Game theorists end up in the same place through a slightly different lens. Remember the $tsla long investment Narrative=A+B, where A and B are two belief heuristics that are inextricably linked to one another. Damage one, and the Narrative collapses. They are: 2/",,-1
293,Is there any recourse for those of us who have had our #Iphone killed by the #iOS9fail #IOS update? Pittchfork mob to $AAPL in Cupertino?,,-1
294,"$AAPL starting to perform, but futures still can't bounce.",,0
295,The moment institutions realize they've been had. Still waiting for a real puke.Keep pumping @elonmusk.$TSLA,,1
296,"my earnings thoughts:$MSFT makes wheelbarrows full of $$$NOW eps don't matter, hired terrible CEO #idiots #avoid$XLNX going nowhere...fast$PYPL surprise beat, longs will take it$TSLA don't matter what they report, ELON still crazy",,-1
297,"OCEE News @ .08 currently>>>>>>Nevis Capital Corporation Announces Arbit Media ProgressMay 16, 2016O  $AMZN $OCEE",,0
298,$TSLAHEY EVERYBODY!!I HAVE A SCOOP COMING UP!Stay tuned!,,0
299,And that lawsuit is still ongoing. I don't see how it is possible for Musk and $TSLA to win that one,,1
300,Dear #stElon fans the competition has already arrived in EV and they don’t make their cars in tents $TSLA,,0
301,It would probably be good for $TSLA. It depends on the final version of the text and whether it will make it through the rest of the process.,,1
302,"$tsla bearish engulfing candle on the chart, test $263-264 area this week",,0
303,$TSLA Ross Gerber says a Tesla is the iphone of cars. They do have one thing in common.... they both catch on fire.,,-1
304,$TSLA was the Bamboozle of the Day. I wanted in @293 around 10:50... it's 299 NowSomehow i saw $MSFT juicier LOL.,,1
305,long $JRJC swing trade not my kind of play but with China's getting bigger and bigger this former runner can run any time soon $AAPL $FB,,1
306,The #programmer community knows these $TSLA cars are dangerous as they come.Get them under heavy #regulations now or get them off the road!,,-1
307,"#ElonMusk's #Tesla $TSLAQ $TSLA #Bailout error #Buyout of #SolarCity Is Not Looking Good. In Fact, It Looks Horrible.  @NYGovCuomo Gave Tesla $750 million in subsidies on #Musk's Guarantee to employ 1,000's & invest billions into Gigafactory 2 in Buffalo -WHICH NEVER HAPPENED!",,-1
308,fair enough .. $AAPL and $CSCO are gonna have something to say about that though,,1
309,$AMZN $GOOGL and $NFLX consolidating nicely ..as does $FB,,1
310,$TSLA Watchout for $310 break!,,0
311,$AAPL is cheap buy easy $200,,1
312,"Sign me up! ""Tesla Motors Inc Model S Offered For Free To Buyers of New Condo"" $TSLA",,1
313,Oh cats eyes. Watch out shorties. $TSLA,,0
314,Quick 2pts on $NFLX early on & then re-entered later in anticipation of the $310 break. Huge seller there so I took it off and said I’d put it back on if they took him out. Ran 2pts in a blink after the break & I never put it back on. $AMZN 9pts and it could have been much more.,,1
315,The lead up to this weird crash video $tsla,,-1
316,"Thread. Let them short. I'll be buying while they're selling. Shit, sell it to me. $tsla",,-1
317,"... on a massive scale with regard to financial reporting (this could perhaps explain Deepak's hasty exit/ Zach's promotion).Why? Because with the collapse in demand, the entire growth narrative is at risk of collapsing, too. (2/2)$TSLA $TSLAQ",,0
318,@DougKass both $aapl and $dis ($aapl at 114 and $dis at 114 after hours) remain extremely overbot still :-),,1
319,did Stacey Dash really beat up her husband for buying stock in $TSLA ?If that is the case........ I call it self defense then.....,,1
320,OCT 9 2018 CLOSES:$SPX    2880.34   $SPY   287.40$FB   157.90$AMZN  1870.32$AAPL   226.87$NFLX   355.71$NVDA  265.54$GOOGL  1145.17 - place your bets  - thanks for playing,,1
321,$GOOGL chart: Strongest of the #Fangs.,,0
322,How bad is PWC - first $mat and then $tsla,,-1
323,#Iran says it will let #Google in if it accepts cultural rules - $GOOG - Jerusalem Post -hotpage.info/#95662,,1
324,Some say layoffs = end of $MSFT's mobile dreams. What if MSFT had never been better positioned to succeed in mobile.,,1
325,$LMRMF (cse: $LMR) support has risen on this tiny float #graphite #lithium hold. I'm long here. Next PR will be the big one imhoDO YOUR DD HERE.  #stocks $TSLA #ElectricVehicles #graphene,,-1
326,$TSLA adding another 7% through $320 ,,0
327, come on $tsla,,0
328,"@elonmusk's doomsday prepper beliefs make taking $TSLA private logical, if he believes a crash is coming.  A short term loss in value at $420 per share is a win in the long term, if he believes the stock will be cut in half by a crash. Think about it...",,1
329,"@jlraby Guidance is the reason. Though the reaction is very cruel, I agree. $AAPL",,-1
330,@stevenplace @sspencer_smb $FB looking very much like $AMZN,,1
331," May 187 Teslas delivered, YoY increase of 99 units2019 Jan - May: 1,2662018 Jan - May: 405+212%",,0
332,"Participants in $TSLA's Potemkin Model 3 ""launch"" have to sign this form:",,0
333,"Please $TSLA fans read this. This explains in part why $TSLAQ exist. Many of us have neither anything against BEVs nor against Tesla. It's all about Elon Musk and the things he does 'every' day,",,1
334,"RT $FB HFT Algos triggered BUY in SIGMA-X, CROSSFINDER, ATS, LX @ 08:06. P/T 102.00 #Quant $MSFT $TWTR $GOOG $AMZN $AAPL $NFLX $TSLA $QQQ",,0
335,"It's not 2015 anymore: Under Armour, Netflix, Tesla continue to slide $UA $TSLA $NFLX",,0
336,"Please no one read about the massive, incontrovertible evidence of $tsla solar fraud dumped on Friday evening.There’s definitely nothing to see there, and all that illicit, fraudy behavior was totally confined to that specific period,",,0
337,$TSLANot a bad Idea here  @elonmusk,,-1
338,"I have the best body. Believe me, tremendous bodyMy muscles are so big, u wont believe it $tsla $tslaq",,1
339,Ive had @CNBC on for 30 minutes. Fifth mention of $AAPL. Its annoying. No $XOM? Why not get an analyst for $EA to discuss gaming?,,-1
340,Wow $tsla ugly af. Not worth carrying positions overnight if you are a trader,,-1
341,"$AAPL is full of lies... Tariffs has nothing to do with iPhone sales dropping in China. There are no price increases on Apple phones due to tariffs. If anything, it's a blowback against American companies due to TrumpApple demand is dropping everywhere, and that is the reality",,1
342,Likely another case of #STS (Sold Too Soon) but closed $AAPL and $ABBV call positions this AM for nice winners. Avoiding EPS reports.,,1
343,Amazing. Apple Store in Miami on a random MONDAY night at 8:30!?   Place is packed. $AAPL,,-1
344,What's to stop $aapl from building out it's own production studio for content Apple TV - likely they could acquire some top hollywood talent,,1
345,$GPRO always cranks on red days. $LNKD and $AMZN puts in play.,,0
346,Saboteurs in the paint department as well? They are everywhere.It’s a vast conspiracy against $TSLA  /s,,0
347,#ExplainBABYCharts #FraudWatch day 310These #BABYcharts screenshots without further comment is enough for today. $TSLA $TSLAQ ,,0
348,"$AMZN 190222C1630 - Filled at $3.60 on 02/21/19, 10:25 AM  ET",,1
349,"My math:$15 D+/ESPN/HuluAd $DIS$17 WarnerMedia HBO+Cinemax $T$10 monthly Prime cost $AMZN$13 $NFLX=$55/mo incl. Amazon Music, Prime Reading, shipping benefits.That's a better bundle offering a ton(dle).Losers: Comcast, Fox, Viacom, NFL (CBS & NBC weakened).",,1
350,. @smartertrader a $GOOGL opening at 526+ would be quite nice... not sure where it could get to tmrrw thou,,1
351,Small account trading results - Friday - $AAPL $BIDU $FB $IWM $PCLN,,-1
352,"If your a supplier, you see sales hitting a wall, have seen this song and dance before and see a fresh $2bn - you are asking for your money. $tsla $tslaq",,1
353,Last week I attended internet marketing conference where experts are confused & disappointed in $GOOG search results. On the average. 5% of clicks are paid searches and 35% of searches end up with no clicks whatsover! Spend your #ad money wisely.,,-1
354,"What many people do not understand is that most of the world's  EV sales are regulation-driven. $tsla is kept afloat by green credits. This is not sustainable, and it collapses the minute credits are withdrawn",,1
355,Did anybody expierenced Something simmiliar? #tesla $tsla $tslaq,,0
356,@businessinsider can $AAPL work on making the screens not shatter when you drop the phone?,,0
357,"Just the start, +12 since the post and looking for more $AMZN",,1
358,No similar manic increase for $TSLA yet. Chart looks like we are in the 92-99 region of Enron but you never know...,,0
359,.@timbeejones $AMZN doesn't need Uber. Same day already exists. It's a life hack. Customer rubber cement.,,0
